Population,edu_level,Sex,Age,Persons
Farm operators 4,Medium,Females,Under 35 years,390
Farm operators 4,Medium,Females,35 to 54 years,"2,495"
Farm operators 4,Medium,Females,55 years and over,"2,915"
Farm operators 4,Mediumhigh,Both sexes,All age groups,"56,735"
Farm operators 4,Mediumhigh,Both sexes,Under 35 years,"6,400"
Farm operators 4,Mediumhigh,Both sexes,35 to 54 years,"25,100"
Farm operators 4,Mediumhigh,Both sexes,55 years and over,"25,240"
Farm operators 4,Mediumhigh,Males,All age groups,"34,570"
Farm operators 4,Mediumhigh,Males,Under 35 years,"4,285"
Farm operators 4,Mediumhigh,Males,35 to 54 years,"15,145"
Farm operators 4,Mediumhigh,Males,55 years and over,"15,140"
Farm operators 4,Mediumhigh,Females,All age groups,"22,165"
Farm operators 4,Mediumhigh,Females,Under 35 years,"2,110"
Farm operators 4,Mediumhigh,Females,35 to 54 years,"9,955"
Farm operators 4,Mediumhigh,Females,55 years and over,"10,100"
Farm operators 4,High,Both sexes,All age groups,"9,315"
Farm operators 4,High,Both sexes,Under 35 years,790
Farm operators 4,High,Both sexes,35 to 54 years,"3,465"
Farm operators 4,High,Both sexes,55 years and over,"5,060"
Farm operators 4,High,Males,All age groups,"6,140"
Farm operators 4,High,Males,Under 35 years,605
Farm operators 4,High,Males,35 to 54 years,"2,380"
Farm operators 4,High,Males,55 years and over,"3,150"
Farm operators 4,High,Females,All age groups,"3,175"
Farm operators 4,High,Females,Under 35 years,185
Farm operators 4,High,Females,35 to 54 years,"1,085"
Farm operators 4,High,Females,55 years and over,"1,910"
Farm operators 4,Veryhigh,Both sexes,All age groups,"39,125"
Farm operators 4,Veryhigh,Both sexes,Under 35 years,"4,305"
Farm operators 4,Veryhigh,Both sexes,35 to 54 years,"14,995"
Farm operators 4,Veryhigh,Both sexes,55 years and over,"19,825"
Farm operators 4,Veryhigh,Males,All age groups,"23,730"
Farm operators 4,Veryhigh,Males,Under 35 years,"2,295"
Farm operators 4,Veryhigh,Males,35 to 54 years,"8,255"
Farm operators 4,Veryhigh,Males,55 years and over,"13,180"
Farm operators 4,Veryhigh,Females,All age groups,"15,395"
Farm operators 4,Veryhigh,Females,Under 35 years,"2,010"
Farm operators 4,Veryhigh,Females,35 to 54 years,"6,740"
Farm operators 4,Veryhigh,Females,55 years and over,"6,650"
Total farm population 2,Full,Both sexes,All age groups,"5,92,975"
Total farm population 2,Full,Both sexes,Under 35 years,"2,24,365"
Total farm population 2,Full,Both sexes,35 to 54 years,"1,54,355"
Total farm population 2,Full,Both sexes,55 years and over,"2,14,260"
Total farm population 2,Full,Males,All age groups,"3,11,605"
Total farm population 2,Full,Males,Under 35 years,"1,19,105"
Total farm population 2,Full,Males,35 to 54 years,"76,645"
Total farm population 2,Full,Males,55 years and over,"1,15,855"
Total farm population 2,Full,Females,All age groups,"2,81,370"
Total farm population 2,Full,Females,Under 35 years,"1,05,255"
Total farm population 2,Full,Females,35 to 54 years,"77,705"
Total farm population 2,Full,Females,55 years and over,"98,410"
Total farm population 2,None,Both sexes,All age groups,"2,02,600"
Total farm population 2,None,Both sexes,Under 35 years,"1,35,320"
Total farm population 2,None,Both sexes,35 to 54 years,"17,535"
Total farm population 2,None,Both sexes,55 years and over,"49,740"
Total farm population 2,None,Males,All age groups,"1,16,585"
Total farm population 2,None,Males,Under 35 years,"72,845"
Total farm population 2,None,Males,35 to 54 years,"11,315"
Total farm population 2,None,Males,55 years and over,"32,425"
Total farm population 2,None,Females,All age groups,"86,015"
Total farm population 2,None,Females,Under 35 years,"62,475"
Total farm population 2,None,Females,35 to 54 years,"6,225"
Total farm population 2,None,Females,55 years and over,"17,315"
Total farm population 2,Low,Both sexes,All age groups,"1,43,795"
Total farm population 2,Low,Both sexes,Under 35 years,"38,290"
Total farm population 2,Low,Both sexes,35 to 54 years,"42,640"
Total farm population 2,Low,Both sexes,55 years and over,"62,860"
Total farm population 2,Low,Males,All age groups,"76,655"
Total farm population 2,Low,Males,Under 35 years,"22,265"
Total farm population 2,Low,Males,35 to 54 years,"23,070"
Total farm population 2,Low,Males,55 years and over,"31,325"
Total farm population 2,Low,Females,All age groups,"67,135"
Total farm population 2,Low,Females,Under 35 years,"16,030"
Total farm population 2,Low,Females,35 to 54 years,"19,570"
Total farm population 2,Low,Females,55 years and over,"31,535"
Total farm population 2,Medium,Both sexes,All age groups,"54,545"
Total farm population 2,Medium,Both sexes,Under 35 years,"9,865"
Total farm population 2,Medium,Both sexes,35 to 54 years,"20,005"
Total farm population 2,Medium,Both sexes,55 years and over,"24,675"
Total farm population 2,Medium,Males,All age groups,"38,930"
Total farm population 2,Medium,Males,Under 35 years,"7,490"
Total farm population 2,Medium,Males,35 to 54 years,"13,495"
Total farm population 2,Medium,Males,55 years and over,"17,945"
Total farm population 2,Medium,Females,All age groups,"15,615"
Total farm population 2,Medium,Females,Under 35 years,"2,375"
Total farm population 2,Medium,Females,35 to 54 years,"6,510"
Total farm population 2,Medium,Females,55 years and over,"6,725"
Total farm population 2,Mediumhigh,Both sexes,All age groups,"1,03,645"
Total farm population 2,Mediumhigh,Both sexes,Under 35 years,"21,770"
Total farm population 2,Mediumhigh,Both sexes,35 to 54 years,"41,730"
Total farm population 2,Mediumhigh,Both sexes,55 years and over,"40,150"
Total farm population 2,Mediumhigh,Males,All age groups,"42,755"
Total farm population 2,Mediumhigh,Males,Under 35 years,"9,695"
Total farm population 2,Mediumhigh,Males,35 to 54 years,"16,795"
Total farm population 2,Mediumhigh,Males,55 years and over,"16,270"
Total farm population 2,Mediumhigh,Females,All age groups,"60,890"
Total farm population 2,Mediumhigh,Females,Under 35 years,"12,070"
Total farm population 2,Mediumhigh,Females,35 to 54 years,"24,940"
Total farm population 2,Mediumhigh,Females,55 years and over,"23,880"
Total farm population 2,High,Both sexes,All age groups,"15,845"
Total farm population 2,High,Both sexes,Under 35 years,"2,575"
Total farm population 2,High,Both sexes,35 to 54 years,"5,250"
Total farm population 2,High,Both sexes,55 years and over,"8,020"
Total farm population 2,High,Males,All age groups,"7,195"
Total farm population 2,High,Males,Under 35 years,"1,190"
Total farm population 2,High,Males,35 to 54 years,"2,570"
Total farm population 2,High,Males,55 years and over,"3,430"
Total farm population 2,High,Females,All age groups,"8,655"
Total farm population 2,High,Females,Under 35 years,"1,390"
Total farm population 2,High,Females,35 to 54 years,"2,680"
Total farm population 2,High,Females,55 years and over,"4,585"
Total farm population 2,Veryhigh,Both sexes,All age groups,"72,550"
Total farm population 2,Veryhigh,Both sexes,Under 35 years,"16,540"
Total farm population 2,Veryhigh,Both sexes,35 to 54 years,"27,185"
Total farm population 2,Veryhigh,Both sexes,55 years and over,"28,820"
Total farm population 2,Veryhigh,Males,All age groups,"29,480"
Total farm population 2,Veryhigh,Males,Under 35 years,"5,620"
Total farm population 2,Veryhigh,Males,35 to 54 years,"9,405"
Total farm population 2,Veryhigh,Males,55 years and over,"14,455"
Total farm population 2,Veryhigh,Females,All age groups,"43,065"
Total farm population 2,Veryhigh,Females,Under 35 years,"10,920"
Total farm population 2,Veryhigh,Females,35 to 54 years,"17,780"
Total farm population 2,Veryhigh,Females,55 years and over,"14,365"
Self-employed labour force population,Full,Both sexes,All age groups,"21,33,695"
Self-employed labour force population,Full,Both sexes,Under 35 years,"3,33,815"
Self-employed labour force population,Full,Both sexes,35 to 54 years,"10,27,630"
Self-employed labour force population,Full,Both sexes,55 years and over,"7,72,255"
Self-employed labour force population,Full,Males,All age groups,"13,52,440"
Self-employed labour force population,Full,Males,Under 35 years,"1,98,245"
Self-employed labour force population,Full,Males,35 to 54 years,"6,33,070"
Self-employed labour force population,Full,Males,55 years and over,"5,21,130"
Self-employed labour force population,Full,Females,All age groups,"7,81,255"
Self-employed labour force population,Full,Females,Under 35 years,"1,35,570"
Self-employed labour force population,Full,Females,35 to 54 years,"3,94,560"
Self-employed labour force population,Full,Females,55 years and over,"2,51,130"
Self-employed labour force population,None,Both sexes,All age groups,"2,37,415"
Self-employed labour force population,None,Both sexes,Under 35 years,"32,790"
Self-employed labour force population,None,Both sexes,35 to 54 years,"98,790"
Self-employed labour force population,None,Both sexes,55 years and over,"1,05,830"
Self-employed labour force population,None,Males,All age groups,"1,77,180"
Self-employed labour force population,None,Males,Under 35 years,"23,695"
Self-employed labour force population,None,Males,35 to 54 years,"73,990"
Self-employed labour force population,None,Males,55 years and over,"79,495"
Self-employed labour force population,None,Females,All age groups,"60,235"
Self-employed labour force population,None,Females,Under 35 years,"9,095"
Self-employed labour force population,None,Females,35 to 54 years,"24,800"
Self-employed labour force population,None,Females,55 years and over,"26,335"
Self-employed labour force population,Low,Both sexes,All age groups,"4,86,135"
Self-employed labour force population,Low,Both sexes,Under 35 years,"84,820"
Self-employed labour force population,Low,Both sexes,35 to 54 years,"2,23,140"
Self-employed labour force population,Low,Both sexes,55 years and over,"1,78,170"
Self-employed labour force population,Low,Males,All age groups,"3,22,840"
Self-employed labour force population,Low,Males,Under 35 years,"58,805"
Self-employed labour force population,Low,Males,35 to 54 years,"1,50,040"
Self-employed labour force population,Low,Males,55 years and over,"1,13,995"
Self-employed labour force population,Low,Females,All age groups,"1,63,295"
Self-employed labour force population,Low,Females,Under 35 years,"26,015"
Self-employed labour force population,Low,Females,35 to 54 years,"73,100"
Self-employed labour force population,Low,Females,55 years and over,"64,180"
Self-employed labour force population,Medium,Both sexes,All age groups,"2,82,280"
Self-employed labour force population,Medium,Both sexes,Under 35 years,"43,825"
Self-employed labour force population,Medium,Both sexes,35 to 54 years,"1,38,180"
Self-employed labour force population,Medium,Both sexes,55 years and over,"1,00,270"
Self-employed labour force population,Medium,Males,All age groups,"2,01,465"
Self-employed labour force population,Medium,Males,Under 35 years,"27,860"
Self-employed labour force population,Medium,Males,35 to 54 years,"94,850"
Self-employed labour force population,Medium,Males,55 years and over,"78,755"
Self-employed labour force population,Medium,Females,All age groups,"80,810"
Self-employed labour force population,Medium,Females,Under 35 years,"15,965"
Self-employed labour force population,Medium,Females,35 to 54 years,"43,330"
Self-employed labour force population,Medium,Females,55 years and over,"21,520"
Self-employed labour force population,Mediumhigh,Both sexes,All age groups,"4,18,780"
Self-employed labour force population,Mediumhigh,Both sexes,Under 35 years,"68,495"
Self-employed labour force population,Mediumhigh,Both sexes,35 to 54 years,"2,12,485"
Self-employed labour force population,Mediumhigh,Both sexes,55 years and over,"1,37,795"
Self-employed labour force population,Mediumhigh,Males,All age groups,"2,30,420"
Self-employed labour force population,Mediumhigh,Males,Under 35 years,"35,180"
Self-employed labour force population,Mediumhigh,Males,35 to 54 years,"1,14,085"
Self-employed labour force population,Mediumhigh,Males,55 years and over,"81,160"
Self-employed labour force population,Mediumhigh,Females,All age groups,"1,88,360"
Self-employed labour force population,Mediumhigh,Females,Under 35 years,"33,320"
Self-employed labour force population,Mediumhigh,Females,35 to 54 years,"98,400"
Self-employed labour force population,Mediumhigh,Females,55 years and over,"56,640"
Self-employed labour force population,High,Both sexes,All age groups,"67,160"
Self-employed labour force population,High,Both sexes,Under 35 years,"9,160"
Self-employed labour force population,High,Both sexes,35 to 54 years,"31,845"
Self-employed labour force population,High,Both sexes,55 years and over,"26,155"
Self-employed labour force population,High,Males,All age groups,"38,165"
Self-employed labour force population,High,Both sexes,Under 35 years,"5,230"
Self-employed labour force population,High,Both sexes,35 to 54 years,"17,515"
Self-employed labour force population,High,Both sexes,55 years and over,"15,415"
Self-employed labour force population,High,Females,All age groups,"29,000"
Self-employed labour force population,High,Females,Under 35 years,"3,930"
Self-employed labour force population,High,Females,35 to 54 years,"14,325"
Self-employed labour force population,High,Females,55 years and over,"10,745"
Self-employed labour force population,Veryhigh,Both sexes,All age groups,"6,41,930"
Self-employed labour force population,Veryhigh,Both sexes,Under 35 years,"94,720"
Self-employed labour force population,Veryhigh,Both sexes,35 to 54 years,"3,23,190"
Self-employed labour force population,Veryhigh,Both sexes,55 years and over,"2,24,025"
Self-employed labour force population,Veryhigh,Males,All age groups,"3,82,370"
Self-employed labour force population,Veryhigh,Males,Under 35 years,"47,480"
Self-employed labour force population,Veryhigh,Males,35 to 54 years,"1,82,585"
Self-employed labour force population,Veryhigh,Males,55 years and over,"1,52,310"
Self-employed labour force population,Veryhigh,Females,All age groups,"2,59,555"
Self-employed labour force population,Veryhigh,Females,Under 35 years,"47,240"
Self-employed labour force population,Veryhigh,Females,35 to 54 years,"1,40,600"
Self-employed labour force population,Veryhigh,Females,55 years and over,"71,710"
